Id,updatedtime,device_id
data_id,device_id,"co2,kwh_cost,updated_time,raw_value,kwh_R,kwh_Y,kwh_B,min_kwh,max_kwh,avg_kwh,min_kwh_time,max_kwh_time"
45,1143,"0.42157500000000003,5621,""2024-08-02 23:59:03"",""{""V1"": ""7453731.50"", ""V9"": {""B"": ""2434796.75"", ""R"": ""2524360.25"", ""Y"": ""2494745.75""}}"",192.9,186.3,183.0,NULL,NULL,NULL,NULL,NULL"
46,1145,"0.156075,2081,""2024-08-02 23:59:03"",""{""V1"": ""2768708.00"", ""V9"": {""B"": ""920773.87"", ""R"": ""908091.56"", ""Y"": ""939901.94""}}"",69.1,70.0,69.1,NULL,NULL,NULL,NULL,NULL"
47,1146,"0.15772500000000003,2103,""2024-08-02 23:59:03"",""{""V1"": ""2792102.75"", ""V9"": {""B"": ""925190.62"", ""R"": ""918286.37"", ""Y"": ""948694.94""}}"",70.0,70.8,69.6,NULL,NULL,NULL,NULL,NULL"
49,1148,"0,0,""2024-08-02 23:59:03"",""{""V1"": ""305.80"", ""V9"": {""B"": ""100.22"", ""R"": ""152.53"", ""Y"": ""53.05""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
50,1149,"0.0046500000000000005,62,""2024-08-02 23:59:03"",""{""V1"": ""19889.86"", ""V9"": {""B"": ""6487.48"", ""R"": ""6630.52"", ""Y"": ""6771.85""}}"",2.1,2.1,2.0,NULL,NULL,NULL,NULL,NULL"
51,1150,"0.00375,50,""2024-08-02 23:59:03"",""{""V1"": ""67684.66"", ""V9"": {""B"": ""0.00"", ""R"": ""67686.16"", ""Y"": ""0.00""}}"",5.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
52,1151,"0.0024000000000000002,32,""2024-08-02 23:59:03"",""{""V1"": ""31540.13"", ""V9"": {""B"": ""0.00"", ""R"": ""31540.13"", ""Y"": ""0.00""}}"",3.2,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
69,1143,"0.40485,5398,""2024-08-03 23:59:03"",""{""V1"": ""7993551.00"", ""V9"": {""B"": ""2610987.75"", ""R"": ""2707666.00"", ""Y"": ""2675086.25""}}"",183.3,180.3,176.2,NULL,NULL,NULL,NULL,NULL"
70,1145,"0.14857499999999998,1981,""2024-08-03 23:59:03"",""{""V1"": ""2966835.00"", ""V9"": {""B"": ""986542.00"", ""R"": ""973422.50"", ""Y"": ""1006930.56""}}"",65.3,51.7,65.8,NULL,NULL,NULL,NULL,NULL"
71,1146,"0.14872500000000002,1983,""2024-08-03 23:59:03"",""{""V1"": ""2990440.50"", ""V9"": {""B"": ""990799.56"", ""R"": ""983887.75"", ""Y"": ""1015813.31""}}"",65.6,47.3,65.6,NULL,NULL,NULL,NULL,NULL"
73,1148,"0.00015000000000000001,2,""2024-08-03 23:59:03"",""{""V1"": ""543.37"", ""V9"": {""B"": ""147.17"", ""R"": ""226.42"", ""Y"": ""169.78""}}"",0.1,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
74,1149,"0.00007500000000000001,1,""2024-08-03 23:59:03"",""{""V1"": ""20023.76"", ""V9"": {""B"": ""6533.04"", ""R"": ""6675.28"", ""Y"": ""6815.43""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
75,1150,"0.004425000000000001,59,""2024-08-03 23:59:03"",""{""V1"": ""73594.85"", ""V9"": {""B"": ""0.00"", ""R"": ""73596.49"", ""Y"": ""0.00""}}"",5.9,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
76,1151,"0.00030000000000000003,4,""2024-08-03 23:59:03"",""{""V1"": ""31916.90"", ""V9"": {""B"": ""0.00"", ""R"": ""31916.90"", ""Y"": ""0.00""}}"",0.4,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
93,1143,"0.978,13040,""2024-08-04 23:59:03"",""{""V1"": ""9297575.00"", ""V9"": {""B"": ""3036115.00"", ""R"": ""3148223.25"", ""Y"": ""3113411.50""}}"",440.6,438.3,425.1,NULL,NULL,NULL,NULL,NULL"
94,1145,"0.35655,4754,""2024-08-04 23:59:03"",""{""V1"": ""3442226.25"", ""V9"": {""B"": ""1144461.50"", ""R"": ""1129087.75"", ""Y"": ""1168742.25""}}"",17.7,161.8,0.0,NULL,NULL,NULL,NULL,NULL"
95,1146,"0.361125,4815,""2024-08-04 23:59:03"",""{""V1"": ""3471921.75"", ""V9"": {""B"": ""1149948.00"", ""R"": ""1142259.37"", ""Y"": ""1179809.87""}}"",0.0,164.0,0.0,NULL,NULL,NULL,NULL,NULL"
97,1148,"0,0,""2024-08-04 23:59:03"",""{""V1"": ""543.37"", ""V9"": {""B"": ""147.17"", ""R"": ""226.42"", ""Y"": ""169.78""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
98,1149,"0,0,""2024-08-04 23:59:03"",""{""V1"": ""20023.76"", ""V9"": {""B"": ""6533.04"", ""R"": ""6675.28"", ""Y"": ""6815.43""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
99,1150,"0.008774999999999998,117,""2024-08-04 23:59:03"",""{""V1"": ""85246.16"", ""V9"": {""B"": ""0.00"", ""R"": ""85246.16"", ""Y"": ""0.00""}}"",11.6,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
100,1151,"0.002625,35,""2024-08-04 23:59:03"",""{""V1"": ""35440.45"", ""V9"": {""B"": ""0.00"", ""R"": ""35440.45"", ""Y"": ""0.00""}}"",3.5,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
117,1143,"0.662625,8835,""2024-08-05 23:59:03"",""{""V1"": ""10181065.00"", ""V9"": {""B"": ""3327908.75"", ""R"": ""3442714.75"", ""Y"": ""3410628.25""}}"",294.5,297.2,291.8,NULL,NULL,NULL,NULL,NULL"
118,1145,"0.1914,2552,""2024-08-05 23:59:03"",""{""V1"": ""3697424.00"", ""V9"": {""B"": ""1229707.00"", ""R"": ""1212386.62"", ""Y"": ""1255395.37""}}"",83.3,86.7,85.2,NULL,NULL,NULL,NULL,NULL"
119,1146,"0.25725,3430,""2024-08-05 23:59:03"",""{""V1"": ""3814879.00"", ""V9"": {""B"": ""1264083.50"", ""R"": ""1254909.37"", ""Y"": ""1295946.00""}}"",112.7,116.1,114.1,NULL,NULL,NULL,NULL,NULL"
120,1147,"0.036,480,""2024-08-05 23:59:03"",""{""V1"": ""47968.10"", ""V9"": {""B"": ""15970.01"", ""R"": ""15985.55"", ""Y"": ""16012.54""}}"",16.0,16.0,16.0,NULL,NULL,NULL,NULL,NULL"
121,1148,"0,0,""2024-08-05 23:59:03"",""{""V1"": ""544.22"", ""V9"": {""B"": ""147.45"", ""R"": ""226.83"", ""Y"": ""169.94""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
122,1149,"0,0,""2024-08-05 23:59:03"",""{""V1"": ""20023.76"", ""V9"": {""B"": ""6533.04"", ""R"": ""6675.28"", ""Y"": ""6815.43""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
123,1150,"0,0,""2024-08-05 23:59:03"",""{""V1"": ""85246.16"", ""V9"": {""B"": ""0.00"", ""R"": ""85246.16"", ""Y"": ""0.00""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
124,1151,"0.0032249999999999996,43,""2024-08-05 23:59:03"",""{""V1"": ""39736.96"", ""V9"": {""B"": ""0.00"", ""R"": ""39738.38"", ""Y"": ""0.00""}}"",4.3,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
141,1143,"0.6466500000000001,8622,""2024-08-06 23:59:03"",""{""V1"": ""11043273.00"", ""V9"": {""B"": ""3612260.50"", ""R"": ""3733208.25"", ""Y"": ""3697965.75""}}"",290.5,287.3,284.4,NULL,NULL,NULL,NULL,NULL"
142,1145,"0.253875,3385,""2024-08-06 23:59:03"",""{""V1"": ""4035929.25"", ""V9"": {""B"": ""1343233.50"", ""R"": ""1323442.75"", ""Y"": ""1369318.75""}}"",111.1,113.9,113.5,NULL,NULL,NULL,NULL,NULL"
143,1146,"0.18630000000000002,2484,""2024-08-06 23:59:03"",""{""V1"": ""4063258.00"", ""V9"": {""B"": ""1346947.12"", ""R"": ""1336382.87"", ""Y"": ""1379988.25""}}"",81.5,84.0,82.9,NULL,NULL,NULL,NULL,NULL"
144,1147,"0.037125,495,""2024-08-06 23:59:03"",""{""V1"": ""97516.81"", ""V9"": {""B"": ""32441.70"", ""R"": ""32506.33"", ""Y"": ""32568.79""}}"",16.5,16.6,16.5,NULL,NULL,NULL,NULL,NULL"
145,1148,"0,0,""2024-08-06 23:59:03"",""{""V1"": ""580.51"", ""V9"": {""B"": ""158.84"", ""R"": ""244.97"", ""Y"": ""176.71""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
146,1149,"0.005475,73,""2024-08-06 23:59:03"",""{""V1"": ""27342.71"", ""V9"": {""B"": ""8969.99"", ""R"": ""9060.46"", ""Y"": ""9312.26""}}"",2.4,2.5,2.4,NULL,NULL,NULL,NULL,NULL"
147,1150,"0,0,""2024-08-06 23:59:03"",""{""V1"": ""85246.16"", ""V9"": {""B"": ""0.00"", ""R"": ""85246.16"", ""Y"": ""0.00""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
148,1151,"0.0065249999999999996,87,""2024-08-06 23:59:03"",""{""V1"": ""48449.28"", ""V9"": {""B"": ""0.00"", ""R"": ""48450.70"", ""Y"": ""0.00""}}"",8.7,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
165,1143,"0.6683250000000001,8911,""2024-08-07 23:59:03"",""{""V1"": ""11934349.00"", ""V9"": {""B"": ""3906174.00"", ""R"": ""4033129.75"", ""Y"": ""3995235.50""}}"",299.9,297.3,293.9,NULL,NULL,NULL,NULL,NULL"
166,1145,"0.2685,3580,""2024-08-07 23:59:03"",""{""V1"": ""4393888.50"", ""V9"": {""B"": ""1463250.37"", ""R"": ""1440711.25"", ""Y"": ""1489988.37""}}"",117.3,120.7,120.0,NULL,NULL,NULL,NULL,NULL"
167,1146,"0.17475,2330,""2024-08-07 23:59:03"",""{""V1"": ""4296301.00"", ""V9"": {""B"": ""1424742.62"", ""R"": ""1412700.25"", ""Y"": ""1458930.00""}}"",76.3,78.9,77.8,NULL,NULL,NULL,NULL,NULL"
168,1147,"0.048675,649,""2024-08-07 23:59:03"",""{""V1"": ""162375.20"", ""V9"": {""B"": ""54001.08"", ""R"": ""54064.18"", ""Y"": ""54309.95""}}"",21.6,21.7,21.6,NULL,NULL,NULL,NULL,NULL"
169,1148,"0.00007500000000000001,1,""2024-08-07 23:59:03"",""{""V1"": ""650.19"", ""V9"": {""B"": ""180.52"", ""R"": ""279.78"", ""Y"": ""189.89""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
170,1149,"0.0045,60,""2024-08-07 23:59:03"",""{""V1"": ""33317.72"", ""V9"": {""B"": ""10921.53"", ""R"": ""11032.67"", ""Y"": ""11363.53""}}"",0.0,0.0,1.0,NULL,NULL,NULL,NULL,NULL"
171,1151,"0.0069,92,""2024-08-07 23:59:03"",""{""V1"": ""57608.96"", ""V9"": {""B"": ""0.00"", ""R"": ""57610.39"", ""Y"": ""0.00""}}"",9.2,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
188,1143,"0.317475,4233,""2024-08-08 23:59:03"",""{""V1"": ""12357685.00"", ""V9"": {""B"": ""4045587.75"", ""R"": ""4175139.00"", ""Y"": ""4136958.25""}}"",142.0,141.7,139.4,NULL,NULL,NULL,NULL,NULL"
189,1145,"0.11355000000000001,1514,""2024-08-08 23:59:03"",""{""V1"": ""4545244.00"", ""V9"": {""B"": ""1513908.12"", ""R"": ""1490187.75"", ""Y"": ""1541148.37""}}"",49.5,51.2,50.7,NULL,NULL,NULL,NULL,NULL"
190,1146,"0.11467500000000001,1529,""2024-08-08 23:59:03"",""{""V1"": ""4449229.00"", ""V9"": {""B"": ""1475648.12"", ""R"": ""1462841.62"", ""Y"": ""1510739.25""}}"",50.1,51.8,50.9,NULL,NULL,NULL,NULL,NULL"
191,1147,"0,0,""2024-08-08 23:59:03"",""{""V1"": ""162375.20"", ""V9"": {""B"": ""54001.08"", ""R"": ""54064.18"", ""Y"": ""54309.95""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
192,1148,"0,0,""2024-08-08 23:59:03"",""{""V1"": ""650.19"", ""V9"": {""B"": ""180.52"", ""R"": ""279.78"", ""Y"": ""189.89""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
193,1149,"0,0,""2024-08-08 23:59:03"",""{""V1"": ""33317.72"", ""V9"": {""B"": ""10921.53"", ""R"": ""11032.67"", ""Y"": ""11363.53""}}"",0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
194,1151,"0.0027750000000000006,37,""2024-08-08 23:59:03"",""{""V1"": ""61348.32"", ""V9"": {""B"": ""0.00"", ""R"": ""61349.66"", ""Y"": ""0.00""}}"",3.7,0.0,0.0,NULL,NULL,NULL,NULL,NULL"
